State,year,Served,InCare_Sep30,Entered,Exited,Waiting_Adoption,parental_rights_terminated,adopted
Mississippi,FY 2015,7371,4772.999999999995,3081.999999999993,2598.0000000000023,1436.9999999999952,412.0000000000004,312.00000000000125
Mississippi,FY 2016,8396,5486.000000000028,3694.9999999999973,2909.9999999999977,1552.9999999999968,444.99999999999795,400.000000000003
Mississippi,FY 2017,8330,5440.000000000009,3194.999999999984,2890.0000000000064,1866.9999999999957,154.00000000000006,363.99999999999903
Mississippi,FY 2018,7882.000000000011,4702.999999999996,2520.000000000002,3181.000000000008,1730.0000000000027,103.00000000000028,431.0000000000012
Missouri,FY 2009,12697,7794.999999999986,5173.0000000000155,4902.000000000026,2214.000000000002,1140.999999999996,1165.0000000000005
Missouri,FY 2010,13744,8687,5790.999999999987,5056.999999999959,1992.000000000005,1007.9999999999975,1169.9999999999964
Missouri,FY 2011,14638.999999999996,9219.999999999962,5911.0000000000055,5420.000000000002,2055.999999999999,976,1211.9999999999911
Missouri,FY 2012,15460.000000000016,9984.999999999987,6194.999999999989,5475.999999999986,2067.000000000016,854.0000000000015,1227.9999999999993
Missouri,FY 2013,16191,10623.999999999953,6401.000000000008,5566.999999999995,2162.000000000002,862.0000000000008,1232.9999999999936
Missouri,FY 2014,17760.000000000015,11833.999999999973,7120.999999999981,5926.9999999999845,2325.0000000000027,763.9999999999989,1290.9999999999927
Missouri,FY 2015,18678.000000000015,12159.999999999998,6906.000000000003,6518.999999999986,2513.0000000000014,698.000000000003,1357.000000000004
Missouri,FY 2016,19332,12407.999999999973,7350.000000000006,6924.000000000003,2583.999999999986,764.000000000001,1590.9999999999986
Missouri,FY 2017,19030,12390.000000000002,6774.000000000026,6639.999999999995,2824.9999999999873,839.9999999999986,1540.9999999999939
Missouri,FY 2018,19218,12658.99999999992,6962.999999999977,6558.999999999994,2783.000000000007,863.9999999999967,1798.0000000000068
Montana,FY 2009,2578,1638.9999999999998,976.0000000000005,939.0000000000006,536.9999999999991,439.9999999999999,191.99999999999997
Montana,FY 2010,2614,1723.000000000002,958.0000000000014,890.9999999999998,495.00000000000006,349.9999999999997,191.00000000000006
Montana,FY 2011,2771,1794.0000000000005,1041.0000000000005,976.9999999999999,460.00000000000006,314.0000000000001,237.99999999999946
Montana,FY 2012,3065.9999999999995,1936.9999999999975,1298.000000000001,1130.999999999999,402.99999999999994,292.00000000000034,225.0000000000003
Montana,FY 2013,3397,2232.0000000000014,1433.9999999999998,1164.9999999999993,497.9999999999995,368.9999999999992,165.00000000000054
Montana,FY 2014,3602,2345.0000000000005,1392.0000000000034,1257.0000000000002,586.9999999999989,447.0000000000001,234.00000000000065
Montana,FY 2015,4232,2806.9999999999923,1940.0000000000018,1425.0000000000002,580.0000000000025,384.9999999999997,310.0000000000004
Montana,FY 2016,4924,3366.000000000005,2151.0000000000027,1557.9999999999955,632.9999999999975,438.99999999999955,260.0000000000014
Montana,FY 2017,5682,3852.999999999999,2361.000000000004,1828.9999999999973,831.0000000000015,556.0000000000016,274.0000000000011
Montana,FY 2018,6097.999999999998,3946.0000000000027,2312.0000000000064,2154.0000000000005,976.9999999999998,687.0000000000011,396.000000000002
Nebraska,FY 2009,8962,5342.999999999999,3563.0000000000105,3618.999999999992,830.9999999999999,536.9999999999993,587.9999999999973
