created_date,tweet_text,lang
2019-12-03 17:50:03,"Foster and adoptive dad Jeff admits that he has experienced deep feelings of loss. “When they leave, it’s like a de… https://t.co/2SsbwItyd4",en
2019-11-29 21:02:03,"RT @OOOhTwit: Omg. How great this would be to fill my kids and foster kids stockings. 
$AuntEs2cents 
Me and @Champagnemoee would have a ba…",en
2019-12-02 14:44:45,@IzziDABELL @neithskye @zachbac26 I'm always amazed how people will argue with individuals who have experienced Ado… https://t.co/aqyBtafLx8,en
2019-12-04 18:31:13,"RT @DTFA: Every child deserves a safe, loving family, rooting for and supporting them through life. We believe unadoptable is unacceptable.…",en
2019-11-30 21:47:36,Daily Reminder: FosterCare is not an adoption agency. It's function is a temporary solution for the family in crisi… https://t.co/2yc2Dmwvmh,en
2019-12-02 01:15:23,RT @schnaity: 🏳️‍🌈❤️ I love our #LGBTQFamily ❤️🏳️‍🌈 #FosterCare #Adoption https://t.co/4SqDPGi3kR,en
2019-12-03 20:15:23,RT @missmyhappybird: Adoption by strangers is not the only or even the best option for children in fostercare system. Adoption by strangers…,en
2019-11-30 17:51:35,RT @ProjectMMH: ' @AdoptUSKids asked their Facebook community what they are most thankful for as a foster or adoptive parent. They received…,en
2019-12-02 03:39:30,RT @schnaity: 🏳️‍🌈❤️ I love our #LGBTQFamily ❤️🏳️‍🌈 #FosterCare #Adoption https://t.co/4SqDPGi3kR,en
2019-12-02 01:49:42,RT @AdoptUSKids: The members of the DeJong family are thankful Tristan joined their family when the teen was adopted from foster care. “We`…,en
2019-12-04 20:35:39,Colton spent a winter #StableMoments session mucking stalls so they'd be cozy for the horses during the snowstorm.… https://t.co/NoKHVZrxet,en
2019-12-06 13:50:11,MT @DTFA: Scott &amp; Amber Seimsen are proud parents of 5 kids adopted from foster care. ...@Wendys teamed up w/… https://t.co/nUHxRetrVw,en
2019-12-04 02:05:04,"Despite the complexities open #adoption MAY bring, it is often in the best interests of the child to maintain some… https://t.co/rPnGnQLyhI",en
2019-12-04 02:10:32,"RT @AdoptUSKids: Despite the complexities open #adoption MAY bring, it is often in the best interests of the child to maintain some level o…",en
2019-12-03 17:22:53,"RT @MAREinMichigan: You’ll get thrills galore with Mayson, who loves science experiments. “My favorite is making a tornado,” he says. After…",en
2019-11-30 21:15:00,"RT @empathyadoption: Being adopted means one is 4 times more likely to attempt suicide.

I wonder what that means for birth mothers separat…",en
2019-12-07 15:16:06,RT @AdoptUSKids: Laura and her husband never dreamed they start their family as first-time adoptive parents. | Together We Rise  https://t.…,en
2019-11-29 08:10:49,"RT @BGPuk: Lovely little Lolly is starting to settle into #fostercare now 💖
She won’t be up for #Adoption for a while.
Lolly loves mud and…",en
2019-12-05 14:38:03,"RT @MAREinMichigan: From fast breaks to break time, Kenneth’s energy level rarely seems to brake. He loves shooting hoops and tossing a foo…",en
2019-11-29 04:55:04,RT @AdoptUSKids: All of us here at AdoptUSKids wish you and your families a very Happy Thanksgiving. #family #Thanksgiving #adoption #foste…,en
2019-12-02 06:06:25,RT @AdoptUSKids: This recorded podcast from Creating a Family can help parents know what to expect and how they can help their child with t…,en
2019-12-03 13:24:43,"Tonight is the night!  If you are thinking about fostering or adoption, come and speak to our dedicated employees a… https://t.co/LINk5z2mp7",en
2019-12-07 00:13:41,"Maybe it's just me...but being a foster-adopt parent feels like I'm divorcing a stranger, and having a really weird… https://t.co/5gOK9ODP3H",en
2019-12-02 03:13:23,RT @proudmawmawof3: What a tear jerker @candacecbure. This was a beautiful movie. I love that #fostercare and #adoption was promoted tonigh…,en
2019-12-01 21:59:51,#Foster #Fostercare #Fosteryouth #Fosterfirst #socialwork #adoption #adopting #fosterparent #adopt #volunteer… https://t.co/ISCUpuZOER,und
2019-12-02 03:44:58,"RT @ProjectMMH: ""A lot of the abuse and trauma that kids face, you can fix all that with a loving home."" #Alabama teen shares foster care j…",en
2019-12-05 13:46:37,"From fast breaks to break time, Kenneth’s energy level rarely seems to brake. He loves shooting hoops and tossing a… https://t.co/euh13AIikB",en
2019-12-07 03:00:28,Op-Ed: The case for considering being a foster parent. #fostercare #fosterchildren #fosterhomes #fosterfamilies… https://t.co/COiTffr5Mu,en
2019-12-05 14:33:10,"RT @MAREinMichigan: From fast breaks to break time, Kenneth’s energy level rarely seems to brake. He loves shooting hoops and tossing a foo…",en
2019-12-05 03:04:22,"RT @AdoptUSKids: Do you know a caseworker who has gone above and beyond to help children in foster care find permanency? If so, nominate th…",en
2019-12-02 15:39:24,What a joy to hear our own Mary Keane talk with @dumbrobin &amp; @jamay16 at @ovariestalk! Take a listen -- even we got… https://t.co/iLba3WTyQN,en
2019-12-07 17:55:08,“Staying focused on positive outcomes and on the good that I can do keeps me doing this work.” -Our latest Outstand… https://t.co/FXIu7aLgPk,en
2019-12-01 20:10:41,RT @CreatingaFamily: ICYMI: Transitioning to adoption may not be a change a foster child embraces. Whether he’s living with you or another…,en
2019-12-06 19:37:49,@GOPWillie @lilkahlilah Trust me I know more about the FosterCare and Adoption Industry than you think you do. Over… https://t.co/OMgtwbsV6j,en
2019-12-05 05:59:18,"RT @AdoptUSKids: Do you know a caseworker who has gone above and beyond to help children in foster care find permanency? If so, nominate th…",en
2019-11-30 03:49:09,"RT @LightWorkers: These beautiful images of the joys of adoption through #fostercare are everything right in this world!❤️#FosterLove

http…",en
2019-12-02 19:52:02,"RT @DTFA: Maya and Hannah spent 6 years in and out of #fostercare as their parents battled addiction. In 2017, they were adopted by Dana an…",en
2019-12-03 16:10:41,RT @more_plate: Three Daughters!!! https://t.co/vbZ9wvwXcN #adoption #daughters #fostercare #fostercaresystem #grief #love #mamabear #trauma,en
2019-12-02 21:37:42,"If 150 ppl make a gift to the Foundation before midnight on #GivingTuesday, City National Bank has generously pledg… https://t.co/0JaWZebm40",en
2019-12-07 18:50:45,RT @DiabeticCyborgg: When the Youngest LGBTQ Allies Face Down Homophobes by @jfinn6511 https://t.co/UVfqz4RZpn #FosterCare #LGBTQ #Equality…,en
2019-11-28 22:37:28,"I just tried to watch “Instant Family” with @markwahlberg. As I suspected, it brought up WAAAAAY too many feelings… https://t.co/v5cUiaAaBd",en
